timestamp_utc,asset,price,volume
2026-03-12T08:02:55Z,TSLA,407.82,62101725
2026-03-12T08:30:35Z,SPY,676.33,67291756
2026-03-12T08:30:35Z,QQQ,607.69,58692761
2026-03-12T08:30:35Z,AAPL,260.81,25826274
2026-03-12T08:30:35Z,MSFT,404.88,25374129
2026-03-12T08:30:35Z,NVDA,186.03,138663908
2026-03-12T08:30:35Z,TSLA,407.82,62101725
2026-03-12T09:04:22Z,SPY,676.33,67291756
2026-03-12T09:04:22Z,QQQ,607.69,58692761
2026-03-12T09:04:22Z,AAPL,260.81,25826274
2026-03-12T09:04:22Z,MSFT,404.88,25374129
2026-03-12T09:04:22Z,NVDA,186.03,138663908
2026-03-12T09:04:22Z,TSLA,407.82,62101725
2026-03-12T09:30:11Z,SPY,676.33,67291756
2026-03-12T09:30:11Z,QQQ,607.69,58692761
2026-03-12T09:30:11Z,AAPL,260.81,25826274
2026-03-12T09:30:11Z,MSFT,404.88,25374129
2026-03-12T09:30:11Z,NVDA,186.03,138663908
2026-03-12T09:30:11Z,TSLA,407.82,62101725
2026-03-12T10:01:26Z,SPY,676.33,67291756
2026-03-12T10:01:26Z,QQQ,607.69,58692761
2026-03-12T10:01:26Z,AAPL,260.81,25826274
2026-03-12T10:01:26Z,MSFT,404.88,25374129
2026-03-12T10:01:26Z,NVDA,186.03,138663908
2026-03-12T10:01:26Z,TSLA,407.82,62101725
2026-03-12T10:30:11Z,SPY,676.33,67291756
2026-03-12T10:30:11Z,QQQ,607.69,58692761
2026-03-12T10:30:11Z,AAPL,260.81,25826274
2026-03-12T10:30:11Z,MSFT,404.88,25374129
2026-03-12T10:30:11Z,NVDA,186.03,138663908
2026-03-12T10:30:11Z,TSLA,407.82,62101725
2026-03-12T11:02:01Z,SPY,676.33,67291756
2026-03-12T11:02:01Z,QQQ,607.69,58692761
2026-03-12T11:02:01Z,AAPL,260.81,25826274
2026-03-12T11:02:01Z,MSFT,404.88,25374129
2026-03-12T11:02:01Z,NVDA,186.03,138663908
2026-03-12T11:02:01Z,TSLA,407.82,62101725
2026-03-12T11:30:13Z,SPY,676.33,67291756
2026-03-12T11:30:13Z,QQQ,607.69,58692761
2026-03-12T11:30:13Z,AAPL,260.81,25826274
2026-03-12T11:30:13Z,MSFT,404.88,25374129
2026-03-12T11:30:13Z,NVDA,186.03,138663908
2026-03-12T11:30:13Z,TSLA,407.82,62101725
2026-03-12T12:02:25Z,SPY,676.33,67291756
2026-03-12T12:02:25Z,QQQ,607.69,58692761
2026-03-12T12:02:25Z,AAPL,260.81,25826274
2026-03-12T12:02:25Z,MSFT,404.88,25374129
2026-03-12T12:02:25Z,NVDA,186.03,138663908
2026-03-12T12:02:25Z,TSLA,407.82,62101725
2026-03-12T12:31:33Z,SPY,676.33,67291756
2026-03-12T12:31:33Z,QQQ,607.69,58692761
2026-03-12T12:31:33Z,AAPL,260.81,25826274
2026-03-12T12:31:33Z,MSFT,404.88,25374129
2026-03-12T12:31:33Z,NVDA,186.03,138663908
2026-03-12T12:31:33Z,TSLA,407.82,62101725
2026-03-12T13:02:36Z,SPY,676.33,67291756
2026-03-12T13:02:36Z,QQQ,607.69,58692761
2026-03-12T13:02:36Z,AAPL,260.81,25826274
2026-03-12T13:02:36Z,MSFT,404.88,25374129
2026-03-12T13:02:36Z,NVDA,186.03,138663908
2026-03-12T13:02:36Z,TSLA,407.82,62101725
2026-03-12T13:30:12Z,SPY,670.93,2329944
2026-03-12T13:30:12Z,QQQ,602.73,1872791
2026-03-12T13:30:12Z,AAPL,258.51,345028
2026-03-12T13:30:12Z,MSFT,404.24,1024333
2026-03-12T13:30:12Z,NVDA,183.85,3855923
2026-03-12T13:30:12Z,TSLA,405.02,1011507
2026-03-12T14:02:31Z,SPY,670.3,14258579
2026-03-12T14:02:31Z,QQQ,601.44,11795397
2026-03-12T14:02:31Z,AAPL,255.73,4939683
2026-03-12T14:02:31Z,MSFT,403.46,3375636
2026-03-12T14:02:31Z,NVDA,182.95,26296970
2026-03-12T14:02:31Z,TSLA,401.19,8931605
2026-03-12T14:30:10Z,SPY,668.01,20547512
2026-03-12T14:30:10Z,QQQ,598.86,17733826
2026-03-12T14:30:10Z,AAPL,254.6,7284200
2026-03-12T14:30:10Z,MSFT,403.52,4891304
2026-03-12T14:30:10Z,NVDA,182.07,36755666
2026-03-12T14:30:10Z,TSLA,399.45,14215268
2026-03-12T15:02:27Z,SPY,667.93,28814174
2026-03-12T15:02:27Z,QQQ,598.45,24947070
2026-03-12T15:02:27Z,AAPL,254.64,9520672
2026-03-12T15:02:27Z,MSFT,404.72,6645113
2026-03-12T15:02:27Z,NVDA,182.14,49395691
2026-03-12T15:02:27Z,TSLA,395.75,22003777
2026-03-12T15:30:18Z,SPY,668.03,34162240
2026-03-12T15:30:18Z,QQQ,598.84,29205117
2026-03-12T15:30:18Z,AAPL,255.17,11235144
2026-03-12T15:30:18Z,MSFT,403.66,8132185
2026-03-12T15:30:18Z,NVDA,182.91,57893228
2026-03-12T15:30:18Z,TSLA,396.87,26056869
2026-03-12T16:02:49Z,SPY,669.1,42529190
2026-03-12T16:02:49Z,QQQ,599.83,35750262
2026-03-12T16:02:49Z,AAPL,255.01,13221318
2026-03-12T16:02:49Z,MSFT,403.43,9180104
2026-03-12T16:02:49Z,NVDA,184.25,69878059
2026-03-12T16:02:49Z,TSLA,398.28,30359975
2026-03-12T16:30:15Z,SPY,668.7,49044914
2026-03-12T16:30:15Z,QQQ,599.42,40727093
2026-03-12T16:30:15Z,AAPL,255.62,14923643
2026-03-12T16:30:15Z,MSFT,404.91,10712711
2026-03-12T16:30:15Z,NVDA,184.3,79456720
2026-03-12T16:30:15Z,TSLA,398.76,33841614
2026-03-12T17:05:06Z,SPY,669.72,54089032
2026-03-12T17:05:06Z,QQQ,600.85,45119678
2026-03-12T17:05:06Z,AAPL,255.53,16838719
2026-03-12T17:05:06Z,MSFT,405.85,12397488
2026-03-12T17:05:06Z,NVDA,184.45,88065715
2026-03-12T17:05:06Z,TSLA,400.5,37544336
2026-03-12T17:30:09Z,SPY,668.69,57572619
2026-03-12T17:30:09Z,QQQ,599.88,47692186
2026-03-12T17:30:09Z,AAPL,255.07,18014924
2026-03-12T17:30:09Z,MSFT,404.45,13658740
2026-03-12T17:30:09Z,NVDA,183.8,93356635
2026-03-12T17:30:09Z,TSLA,399.97,39877516
2026-03-12T18:01:37Z,SPY,668.5,63212944
2026-03-12T18:01:37Z,QQQ,599.42,50800518
2026-03-12T18:01:37Z,AAPL,255.33,19316453
2026-03-12T18:01:37Z,MSFT,403.94,14558871
2026-03-12T18:01:37Z,NVDA,183.71,100079199
2026-03-12T18:01:37Z,TSLA,397.32,43426112
2026-03-12T18:30:08Z,SPY,668.07,67411249
2026-03-12T18:30:08Z,QQQ,599.25,53622751
2026-03-12T18:30:08Z,AAPL,255.35,20762751
2026-03-12T18:30:08Z,MSFT,403.02,15449417
2026-03-12T18:30:08Z,NVDA,183.51,106069007
2026-03-12T18:30:08Z,TSLA,397.75,45903348
2026-03-12T19:02:02Z,SPY,667.25,73757718
2026-03-12T19:02:02Z,QQQ,598.35,56728116
2026-03-12T19:02:02Z,AAPL,255.26,21982378
2026-03-12T19:02:02Z,MSFT,403.37,16497226
2026-03-12T19:02:02Z,NVDA,183.13,112459084
2026-03-12T19:02:02Z,TSLA,397.05,48332501
2026-03-12T19:30:15Z,SPY,668.2,80469902
2026-03-12T19:30:15Z,QQQ,599.05,60463930
2026-03-12T19:30:15Z,AAPL,256.19,23941949
2026-03-12T19:30:15Z,MSFT,403.95,17639406
2026-03-12T19:30:15Z,NVDA,183.56,120148995
2026-03-12T19:30:15Z,TSLA,397.87,51489082
2026-03-12T20:02:23Z,SPY,666.04,94303748
2026-03-12T20:02:23Z,QQQ,597.26,68908441
2026-03-12T20:02:23Z,AAPL,255.76,35757653
2026-03-12T20:02:23Z,MSFT,401.9,24552231
2026-03-12T20:02:23Z,NVDA,183.16,148152353
2026-03-12T20:02:23Z,TSLA,395.01,59382702
2026-03-12T20:30:10Z,SPY,666.06,99333659
2026-03-12T20:30:10Z,QQQ,597.26,70794653
2026-03-12T20:30:10Z,AAPL,255.76,40132517
2026-03-12T20:30:10Z,MSFT,401.86,26767393
2026-03-12T20:30:10Z,NVDA,183.14,153887196
2026-03-12T20:30:10Z,TSLA,395.01,59382702
2026-03-12T21:02:21Z,SPY,666.06,107906562
2026-03-12T21:02:21Z,QQQ,597.26,71249603
2026-03-12T21:02:21Z,AAPL,255.76,40132517
2026-03-12T21:02:21Z,MSFT,401.86,26767393
2026-03-12T21:02:21Z,NVDA,183.14,153887196
2026-03-12T21:02:21Z,TSLA,395.01,59382702
2026-03-12T21:30:12Z,SPY,666.06,107906562
2026-03-12T21:30:12Z,QQQ,597.26,71249603
2026-03-12T21:30:12Z,AAPL,255.76,40132517
2026-03-12T21:30:12Z,MSFT,401.86,26767393
2026-03-12T21:30:12Z,NVDA,183.14,153887196
2026-03-12T21:30:12Z,TSLA,395.01,59382702
2026-03-12T22:03:04Z,SPY,666.06,107906562
2026-03-12T22:03:04Z,QQQ,597.26,71249603
2026-03-12T22:03:04Z,AAPL,255.76,40132517
2026-03-12T22:03:04Z,MSFT,401.86,26767393
2026-03-12T22:03:04Z,NVDA,183.14,153887196
2026-03-12T22:03:04Z,TSLA,395.01,59382702
2026-03-12T22:30:08Z,SPY,666.06,107906562
2026-03-12T22:30:08Z,QQQ,597.26,71249603
2026-03-12T22:30:08Z,AAPL,255.76,40132517
2026-03-12T22:30:08Z,MSFT,401.86,26767393
2026-03-12T22:30:08Z,NVDA,183.14,153887196
2026-03-12T22:30:08Z,TSLA,395.01,59382702
2026-03-12T23:02:46Z,SPY,666.06,107906562
2026-03-12T23:02:46Z,QQQ,597.26,71249603
2026-03-12T23:02:46Z,AAPL,255.76,40132517
2026-03-12T23:02:46Z,MSFT,401.86,26767393
2026-03-12T23:02:46Z,NVDA,183.14,153887196
2026-03-12T23:02:46Z,TSLA,395.01,59382702
2026-03-12T23:30:20Z,SPY,666.06,107906562
2026-03-12T23:30:20Z,QQQ,597.26,71249603
2026-03-12T23:30:20Z,AAPL,255.76,40132517
2026-03-12T23:30:20Z,MSFT,401.86,26767393
2026-03-12T23:30:20Z,NVDA,183.14,153887196
2026-03-12T23:30:20Z,TSLA,395.01,59382702
2026-03-13T00:01:32Z,SPY,666.06,107906562
2026-03-13T00:01:32Z,QQQ,597.26,71249603
2026-03-13T00:01:32Z,AAPL,255.76,40132517
2026-03-13T00:01:32Z,MSFT,401.86,26767393
2026-03-13T00:01:32Z,NVDA,183.14,153887196
2026-03-13T00:01:32Z,TSLA,395.01,59382702
2026-03-13T01:03:11Z,SPY,666.06,107906562
2026-03-13T01:03:11Z,QQQ,597.26,71249603
2026-03-13T01:03:11Z,AAPL,255.76,40132517
2026-03-13T01:03:11Z,MSFT,401.86,26767393
2026-03-13T01:03:11Z,NVDA,183.14,153887196
2026-03-13T01:03:11Z,TSLA,395.01,59382702
2026-03-13T01:30:16Z,SPY,666.06,107906562
2026-03-13T01:30:16Z,QQQ,597.26,71249603
2026-03-13T01:30:16Z,AAPL,255.76,40132517
2026-03-13T01:30:16Z,MSFT,401.86,26767393
2026-03-13T01:30:16Z,NVDA,183.14,153887196
2026-03-13T01:30:16Z,TSLA,395.01,59382702
2026-03-13T02:01:33Z,SPY,666.06,107906562
2026-03-13T02:01:33Z,QQQ,597.26,71249603
2026-03-13T02:01:33Z,AAPL,255.76,40132517
2026-03-13T02:01:33Z,MSFT,401.86,26767393
2026-03-13T02:01:33Z,NVDA,183.14,153887196
2026-03-13T02:01:33Z,TSLA,395.01,59382702
2026-03-13T02:30:13Z,SPY,666.06,107906562
2026-03-13T02:30:13Z,QQQ,597.26,71249603
2026-03-13T02:30:13Z,AAPL,255.76,40132517
2026-03-13T02:30:13Z,MSFT,401.86,26767393
2026-03-13T02:30:13Z,NVDA,183.14,153887196
2026-03-13T02:30:13Z,TSLA,395.01,59382702
2026-03-13T03:01:42Z,SPY,666.06,107906562
2026-03-13T03:01:42Z,QQQ,597.26,71249603
2026-03-13T03:01:42Z,AAPL,255.76,40132517
2026-03-13T03:01:42Z,MSFT,401.86,26767393
2026-03-13T03:01:42Z,NVDA,183.14,153887196
2026-03-13T03:01:42Z,TSLA,395.01,59382702
2026-03-13T03:30:09Z,SPY,666.06,107906562
2026-03-13T03:30:09Z,QQQ,597.26,71249603
2026-03-13T03:30:09Z,AAPL,255.76,40132517
2026-03-13T03:30:09Z,MSFT,401.86,26767393
2026-03-13T03:30:09Z,NVDA,183.14,153887196
2026-03-13T03:30:09Z,TSLA,395.01,59382702
2026-03-13T04:30:18Z,SPY,666.06,107906562
2026-03-13T04:30:18Z,QQQ,597.26,71249603
2026-03-13T04:30:18Z,AAPL,255.76,40132517
2026-03-13T04:30:18Z,MSFT,401.86,26767393
2026-03-13T04:30:18Z,NVDA,183.14,153887196
2026-03-13T04:30:18Z,TSLA,395.01,59382702
2026-03-13T05:02:10Z,SPY,666.06,107906562
2026-03-13T05:02:10Z,QQQ,597.26,71249603
2026-03-13T05:02:10Z,AAPL,255.76,40132517
2026-03-13T05:02:10Z,MSFT,401.86,26767393
2026-03-13T05:02:10Z,NVDA,183.14,153887196
2026-03-13T05:02:10Z,TSLA,395.01,59382702
2026-03-13T05:30:10Z,SPY,666.06,107906562
2026-03-13T05:30:10Z,QQQ,597.26,71249603
2026-03-13T05:30:10Z,AAPL,255.76,40132517
2026-03-13T05:30:10Z,MSFT,401.86,26767393
2026-03-13T05:30:10Z,NVDA,183.14,153887196
2026-03-13T05:30:10Z,TSLA,395.01,59382702
2026-03-13T06:03:54Z,QQQ,597.26,71249603
2026-03-13T06:03:54Z,AAPL,255.76,40132517
