order_id,symbol,side,timestamp_entry,timestamp_exit,entry_price,exit_price,qty,fee_usd,pnl_usd,source
crp_eth_1773025921,ETH,BUY,2026-03-09T03:12:01Z,2026-03-09T03:24:01Z,1982.32,1989.7,0.01513378,0.030112,0.081575,sim_orders
crp_near_1773026041,NEAR,BUY,2026-03-09T03:14:01Z,2026-03-09T03:26:01Z,1.25,1.26,24.0,0.03024,0.20976,sim_orders
crp_sui_1773026041,SUI,BUY,2026-03-09T03:14:01Z,2026-03-09T03:26:01Z,0.899251,0.898752,33.36109718,0.029983,-0.04663,sim_orders
crp_aave_1773026161,AAVE,BUY,2026-03-09T03:16:01Z,2026-03-09T03:28:01Z,107.73,107.65,0.27847396,0.029978,-0.052256,sim_orders
crp_doge_1773026161,DOGE,BUY,2026-03-09T03:16:01Z,2026-03-09T03:28:01Z,0.090835,0.090829,330.26916937,0.029998,-0.03198,sim_orders
crp_trx_1773026161,TRX,BUY,2026-03-09T03:16:01Z,2026-03-09T03:28:01Z,0.289791,0.29066,103.52288373,0.03009,0.059871,sim_orders
crp_near_1773026761,NEAR,BUY,2026-03-09T03:26:01Z,2026-03-09T03:28:01Z,1.26,1.25,23.80952381,0.029762,-0.267857,sim_orders
crp_near_1773026881,NEAR,BUY,2026-03-09T03:28:01Z,2026-03-09T03:40:01Z,1.25,1.24,24.0,0.02976,-0.26976,sim_orders
crp_flow_1773026881,FLOW,BUY,2026-03-09T03:28:01Z,2026-03-09T03:40:01Z,0.042715,0.042813,702.33514731,0.030069,0.03876,sim_orders
crp_trx_1773027001,TRX,BUY,2026-03-09T03:30:01Z,2026-03-09T03:42:01Z,0.290699,0.290773,103.19952941,0.030008,-0.022371,sim_orders
crp_near_1773028561,NEAR,BUY,2026-03-09T03:56:01Z,2026-03-09T04:08:01Z,1.24,1.24,24.19354839,0.03,-0.03,sim_orders
crp_near_1773029401,NEAR,BUY,2026-03-09T04:10:01Z,2026-03-09T04:22:01Z,1.24,1.24,24.19354839,0.03,-0.03,sim_orders
crp_near_1773030361,NEAR,BUY,2026-03-09T04:26:01Z,2026-03-09T04:38:01Z,1.24,1.25,24.19354839,0.030242,0.211693,sim_orders
crp_eth_1773030361,ETH,BUY,2026-03-09T04:26:01Z,2026-03-09T04:38:01Z,1981.93,1985.55,0.01513676,0.030055,0.02474,sim_orders
crp_sui_1773030601,SUI,BUY,2026-03-09T04:30:01Z,2026-03-09T04:42:01Z,0.901571,0.904145,33.27524954,0.030086,0.055564,sim_orders
crp_near_1773031081,NEAR,BUY,2026-03-09T04:38:01Z,2026-03-09T04:50:01Z,1.25,1.24,24.0,0.02976,-0.26976,sim_orders
